Time [10 us];CAN_C1::BCM_COMMAND::BrakePedalSwitchNOSts;CAN_C1::BRAKE1::VehicleSpeedVSOSig;CAN_C1::ENGINE4::EngineTorque;CAN_C1::ENGINE1::EngineSpeed;CAN_C1::ENGINE7::ActualGearGSI
38165;1;0;13;900;0
38189;1;0;12;900;0
38898;1;0;12;900;0
39120;1;0;12;900;0
39168;1;0;13;900;0
39217;1;0;13;900;0
39850;1;0;13;900;0
39898;1;0;13;900;0
40121;1;0;13;900;0
40165;1;0;13;900;0
40189;1;0;12;900;0
40896;1;0;12;900;0
41120;1;0;12;900;0
41165;1;0;12;900;0
41189;1;0;12;900;0
41896;1;0;12;900;0
42121;1;0;12;900;0
42165;1;0;12;900;0
42189;1;0;12;900;0
42896;1;0;12;900;0
43121;1;0;12;900;0
43165;1;0;12;899;0
43189;1;0;12;899;0
43896;1;0;12;899;0
44121;1;0;12;899;0
44194;1;0;13;899;0
44219;1;0;13;899;0
44859;1;0;13;899;0
44907;1;0;13;899;0
45130;1;0;13;899;0
45167;1;0;13;899;0
45214;1;0;13;899;0
45896;1;0;13;899;0
46122;1;0;13;899;0
46166;1;0;13;899;0
46189;1;0;13;899;0
46895;1;0;13;899;0
47126;1;0;13;899;0
47165;1;0;13;897;0
47189;1;0;13;897;0
47899;1;0;13;897;0
48122;1;0;13;897;0
48166;1;0;13;895;0
48189;1;0;13;895;0
48897;1;0;13;895;0
49135;1;0;13;895;0
49208;1;0;14;895;0
49233;1;0;14;895;0
49859;1;0;14;895;0
49907;1;0;14;895;0
50123;1;0;14;895;0
50166;1;0;14;896;0
50189;1;0;14;896;0
50896;1;0;14;896;0
51127;1;0;14;896;0
51165;1;0;14;896;0
51189;1;0;14;896;0
51895;1;0;14;896;0
52123;1;0;14;896;0
52166;1;0;14;899;0
52189;1;0;13;899;0
52895;1;0;13;899;0
53124;1;0;13;899;0
53165;1;0;13;900;0
53189;1;0;13;900;0
53896;1;0;13;900;0
54124;1;0;13;900;0
54197;1;0;13;900;0
54221;1;0;13;900;0
54829;1;0;13;900;0
54895;1;0;13;900;0
55124;1;0;13;900;0
55166;1;0;13;898;0
55189;1;0;13;898;0
55898;1;0;13;898;0
56125;1;0;13;898;0
56165;1;0;13;898;0
56189;1;0;13;898;0
56896;1;0;13;898;0
57125;1;0;13;898;0
57165;1;0;13;897;0
57189;1;0;13;897;0
57896;1;0;13;897;0
58132;1;0;13;897;0
58165;1;0;13;900;0
58189;1;0;13;900;0
58898;1;0;13;900;0
59125;1;0;13;900;0
59197;1;0;13;900;0
59222;1;0;13;900;0
59847;1;0;13;900;0
59896;1;0;13;900;0
60126;1;0;13;900;0
60165;1;0;13;902;0
60189;1;0;13;902;0
60896;1;0;13;902;0
61126;1;0;13;902;0
61166;1;0;13;902;0
61190;1;0;12;902;0
61894;1;0;12;902;0
62126;1;0;12;902;0
62165;1;0;12;900;0
62189;1;0;12;900;0
62896;1;0;12;900;0
63126;1;0;12;900;0
63198;1;0;12;900;0
63222;1;0;12;897;0
63896;1;0;12;897;0
64126;1;0;12;897;0
64199;1;0;13;897;0
64224;1;0;13;897;0
64857;1;0;13;897;0
64905;1;0;13;897;0
65127;1;0;13;897;0
65166;1;0;13;898;0
65190;1;0;13;898;0
65896;1;0;13;898;0
66127;1;0;13;898;0
66165;1;0;13;898;0
66189;1;0;13;898;0
66898;1;0;13;898;0
67127;1;0;13;898;0
67166;1;0;13;900;0
67189;1;0;13;900;0
67895;1;0;13;900;0
68128;1;0;13;900;0
68166;1;0;13;899;0
68189;1;0;13;899;0
68897;1;0;13;899;0
69128;1;0;13;899;0
69201;1;0;13;899;0
69225;1;0;13;899;0
69858;1;0;13;899;0
69907;1;0;13;899;0
70128;1;0;13;899;0
70165;1;0;13;896;0
70189;1;0;13;896;0
70895;1;0;13;896;0
71128;1;0;13;896;0
71166;1;0;13;896;0
71189;1;0;14;896;0
71895;1;0;14;896;0
72129;1;0;14;896;0
72165;1;0;14;896;0
72189;1;0;14;896;0
72897;1;0;14;896;0
73133;1;0;14;896;0
73168;1;0;14;896;0
73217;1;0;14;899;0
73896;1;0;14;899;0
74129;1;0;14;899;0
74202;1;0;13;899;0
74226;1;0;13;899;0
74835;1;0;13;899;0
74896;1;0;13;899;0
75140;1;0;13;899;0
75176;1;0;13;899;0
75224;1;0;13;899;0
75895;1;0;13;899;0
76138;1;0;13;899;0
76166;1;0;13;899;0
76189;1;0;13;899;0
76895;1;0;13;899;0
77130;1;0;13;899;0
77166;1;0;13;896;0
77190;1;0;14;896;0
77896;1;0;14;896;0
78130;1;0;14;896;0
78166;1;0;14;896;0
78189;1;0;14;896;0
78898;1;0;14;896;0
79131;1;0;14;896;0
79204;1;0;14;896;0
79228;1;0;14;896;0
79851;1;0;14;896;0
79899;1;0;14;896;0
80131;1;0;14;896;0
80166;1;0;14;899;0
80189;1;0;14;899;0
80895;1;0;14;899;0
81131;1;0;14;899;0
81168;1;0;14;899;0
81216;1;0;13;899;0
81895;1;0;13;899;0
82139;1;0;13;899;0
82165;1;0;13;900;0
82213;1;0;13;900;0
82896;1;0;13;900;0
83136;1;0;13;900;0
83195;1;0;13;900;0
83219;1;0;13;899;0
83896;1;0;13;899;0
84132;1;0;13;899;0
84204;1;0;13;899;0
84229;1;0;13;899;0
84858;1;0;13;899;0
84906;1;0;13;899;0
85132;1;0;13;899;0
85168;1;0;13;899;0
85216;1;0;13;899;0
85898;1;0;13;899;0
86132;1;0;13;899;0
86166;1;0;13;899;0
86189;1;0;13;899;0
86895;1;0;13;899;0
87144;1;0;13;899;0
87168;1;0;13;899;0
87216;1;0;13;899;0
87896;1;0;13;899;0
88142;1;0;13;899;0
88166;1;0;13;900;0
88214;1;0;13;900;0
88897;1;0;13;900;0
89133;1;0;13;900;0
89206;1;0;13;900;0
89230;1;0;13;900;0
89858;1;0;13;900;0
89906;1;0;13;900;0
90133;1;0;13;900;0
90165;1;0;13;902;0
90189;1;0;13;902;0
90895;1;0;13;902;0
91133;1;0;13;902;0
91193;1;0;12;902;0
91217;1;0;12;902;0
91898;1;0;12;902;0
92134;1;0;12;902;0
92165;1;0;12;902;0
92189;1;0;12;902;0
92895;1;0;12;902;0
93134;1;0;12;902;0
93194;1;0;12;902;0
93218;1;0;12;900;0
93895;1;0;12;900;0
94138;1;0;12;900;0
94188;1;0;12;900;0
94235;1;0;13;900;0
94829;1;0;13;900;0
94896;1;0;13;900;0
95135;1;0;13;900;0
95195;1;0;13;900;0
95219;1;0;13;899;0
95896;1;0;13;899;0
96140;1;0;13;899;0
96165;1;0;13;899;0
96189;1;0;13;899;0
96895;1;0;13;899;0
97135;1;0;13;899;0
97196;1;0;13;899;0
97220;1;0;13;900;0
97898;1;0;13;900;0
98140;1;0;13;900;0
98165;1;0;13;900;0
98189;1;0;13;900;0
98897;1;0;13;900;0
99136;1;0;13;900;0
99208;1;0;13;900;0
99232;1;0;13;900;0
99846;1;0;13;900;0
99895;1;0;13;900;0
100136;1;0;13;900;0
100165;1;0;13;901;0
100188;1;0;13;901;0
100895;1;0;13;901;0
101136;1;0;13;901;0
101196;1;0;13;901;0
101220;1;0;13;901;0
101894;1;0;13;901;0
102136;1;0;13;901;0
102165;1;0;13;900;0
102189;1;0;13;900;0
102895;1;0;13;900;0
103137;1;0;13;900;0
103196;1;0;13;900;0
103221;1;0;13;897;0
103896;1;0;13;897;0
104142;1;0;13;897;0
104166;1;0;13;897;0
104214;1;0;14;897;0
104869;1;0;14;897;0
104917;1;0;14;897;0
105137;1;0;14;897;0
105197;1;0;14;897;0
105222;1;0;14;898;0
105896;1;0;14;898;0
106138;1;0;14;898;0
106166;1;0;14;898;0
106189;1;0;13;898;0
106895;1;0;13;898;0
107138;1;0;13;898;0
107174;1;0;13;900;0
107221;1;0;13;900;0
107896;1;0;13;900;0
108143;1;0;13;900;0
108167;1;0;13;897;0
108215;1;0;13;897;0
108898;1;0;13;897;0
109151;1;0;13;897;0
109198;1;0;13;897;0
109223;1;0;13;897;0
109859;1;0;13;897;0
109907;1;0;13;897;0
110139;1;0;13;897;0
110165;1;0;13;893;0
110189;1;0;13;893;0
110896;1;0;13;893;0
111148;1;0;13;893;0
111196;1;0;14;893;0
111220;1;0;14;893;0
111895;1;0;14;893;0
112139;1;0;14;893;0
112166;1;0;14;894;0
112189;1;0;14;894;0
112895;1;0;14;894;0
113139;1;0;14;894;0
113176;1;0;14;897;0
113224;1;0;14;897;0
113898;1;0;14;897;0
114140;1;0;14;897;0
114189;1;0;14;897;0
114237;1;0;13;897;0
114834;1;0;13;897;0
114896;1;0;13;897;0
115140;1;0;13;897;0
115176;1;0;13;895;0
115224;1;0;13;895;0
115897;1;0;13;895;0
116140;1;0;13;895;0
116165;1;0;13;895;0
116189;1;0;14;895;0
116898;1;0;14;895;0
117153;1;0;14;895;0
117201;1;0;14;895;0
117225;1;0;14;893;0
117896;1;0;14;893;0
118141;1;0;14;893;0
118166;1;0;14;893;0
118189;1;0;14;893;0
118897;1;0;14;893;0
119149;1;0;14;893;0
119198;1;0;14;893;0
119222;1;0;14;894;0
119849;1;0;14;894;0
119898;1;0;14;894;0
120142;1;0;14;894;0
120166;1;0;14;896;0
120189;1;0;14;896;0
120896;1;0;14;896;0
121141;1;0;14;896;0
121166;1;0;14;896;0
121189;1;0;14;896;0
121895;1;0;14;896;0
122142;1;0;14;896;0
122166;1;0;14;898;0
122190;1;0;14;898;0
122897;1;0;14;898;0
123146;1;0;14;898;0
123194;1;0;14;898;0
123218;1;0;14;898;0
123896;1;0;14;898;0
124151;1;0;14;898;0
124199;1;0;14;898;0
124224;1;0;14;898;0
124856;1;0;14;898;0
124905;1;0;14;898;0
125153;1;0;14;898;0
125201;1;0;14;898;0
125226;1;0;14;899;0
125896;1;0;14;899;0
126143;1;0;14;899;0
126167;1;0;14;899;0
126215;1;0;13;899;0
126895;1;0;13;899;0
127143;1;0;13;899;0
127167;1;0;13;899;0
127215;1;0;13;899;0
127896;1;0;13;899;0
128149;1;0;13;899;0
128197;1;0;13;899;0
128221;1;0;13;899;0
128897;1;0;13;899;0
129153;1;0;13;899;0
129201;1;0;13;899;0
129226;1;0;13;901;0
129859;1;0;13;901;0
129907;1;0;13;901;0
130144;1;0;13;901;0
130168;1;0;13;903;0
130216;1;0;13;903;0
130896;1;0;13;903;0
131144;1;0;13;903;0
131168;1;0;13;903;0
131216;1;0;13;903;0
131895;1;0;13;903;0
132144;1;0;13;903;0
132168;1;0;12;903;0
132216;1;0;12;904;0
132895;1;0;12;904;0
133145;1;0;12;904;0
133168;1;0;12;904;0
133217;1;0;12;904;0
133896;1;0;12;904;0
134145;1;0;12;904;0
134169;1;0;13;904;0
134217;1;0;13;901;0
134833;1;0;13;901;0
134896;1;0;13;901;0
135145;1;0;13;901;0
135168;1;0;13;901;0
135217;1;0;13;898;0
135896;1;0;13;898;0
136151;1;0;13;898;0
136199;1;0;13;898;0
136223;1;0;13;898;0
136895;1;0;13;898;0
137158;1;0;13;898;0
137206;1;0;14;898;0
137230;1;0;14;897;0
137896;1;0;14;897;0
138146;1;0;14;897;0
138194;1;0;13;897;0
138218;1;0;13;897;0
138899;1;0;13;897;0
139146;1;0;13;897;0
139193;1;0;13;897;0
139218;1;0;13;898;0
139846;1;0;13;898;0
139895;1;0;13;898;0
140147;1;0;13;898;0
140195;1;0;13;898;0
140219;1;0;13;901;0
140895;1;0;13;901;0
141147;1;0;13;901;0
141194;1;0;13;901;0
141218;1;0;13;901;0
141896;1;0;13;901;0
142155;1;0;13;901;0
142202;1;0;13;901;0
142227;1;0;13;899;0
142895;1;0;13;899;0
143152;1;0;13;899;0
143199;1;0;13;899;0
143224;1;0;13;899;0
143895;1;0;13;899;0
144148;1;0;13;899;0
144195;1;0;14;899;0
144220;1;0;14;897;0
144857;1;0;14;897;0
144905;1;0;14;897;0
145157;1;0;14;897;0
145205;1;0;14;897;0
145230;1;0;14;899;0
145897;1;0;14;899;0
146152;1;0;14;899;0
146200;1;0;13;899;0
146224;1;0;13;899;0
146895;1;0;13;899;0
147148;1;0;13;899;0
147196;1;0;13;899;0
147220;1;0;13;901;0
147898;1;0;13;901;0
148149;1;0;13;901;0
148196;1;0;13;901;0
148220;1;0;13;901;0
148897;1;0;13;901;0
149157;1;0;13;901;0
149205;1;0;13;901;0
149229;1;0;13;900;0
149858;1;0;13;900;0
149907;1;0;13;900;0
150149;1;0;13;900;0
150197;1;0;13;900;0
150221;1;0;13;898;0
150896;1;0;13;898;0
151149;1;0;13;898;0
151197;1;0;14;898;0
151222;1;0;14;898;0
151894;1;0;14;898;0
152157;1;0;14;898;0
152205;1;0;13;898;0
152229;1;0;13;900;0
152895;1;0;13;900;0
153150;1;0;13;900;0
153198;1;0;13;900;0
153222;1;0;13;900;0
153895;1;0;13;900;0
154150;1;0;13;900;0
154198;1;0;13;900;0
154222;1;0;13;903;0
154836;1;0;13;903;0
154895;1;0;13;903;0
155158;1;0;13;903;0
155206;1;0;13;903;0
155230;1;0;13;903;0
155896;1;0;13;903;0
156151;1;0;13;903;0
156199;1;0;12;903;0
156223;1;0;12;903;0
156895;1;0;12;903;0
157151;1;0;12;903;0
157199;1;0;13;903;0
157223;1;0;13;900;0
157895;1;0;13;900;0
158151;1;0;13;900;0
158199;1;0;13;900;0
158223;1;0;13;900;0
158898;1;0;13;900;0
159156;1;0;13;900;0
159204;1;0;13;900;0
159228;1;0;13;900;0
159849;1;0;13;900;0
159898;1;0;13;900;0
160152;1;0;13;900;0
160200;1;0;13;900;0
160224;1;0;13;901;0
160896;1;0;13;901;0
161152;1;0;13;901;0
161200;1;0;13;901;0
161225;1;0;13;901;0
161894;1;0;13;901;0
162159;1;0;13;901;0
162207;1;0;13;901;0
162251;1;0;13;901;0
162895;1;0;13;901;0
163152;1;0;13;901;0
163200;1;0;13;901;0
163224;1;0;13;901;0
163896;1;0;13;901;0
164153;1;0;13;901;0
164200;1;0;13;901;0
164224;1;0;13;900;0
164857;1;0;13;900;0
164907;1;0;13;900;0
165164;1;0;13;900;0
165188;1;0;13;900;0
165256;1;0;13;900;0
165895;1;0;13;900;0
166153;1;0;13;900;0
166201;1;0;13;900;0
166245;1;0;13;900;0
166898;1;0;13;900;0
167153;1;0;13;900;0
167201;1;0;13;900;0
167225;1;0;13;900;0
167896;1;0;13;900;0
168159;1;0;13;900;0
168207;1;0;13;900;0
168251;1;0;13;900;0
168897;1;0;13;900;0
169162;1;0;13;900;0
169187;1;0;13;899;0
169254;1;0;13;899;0
169858;1;0;13;899;0
169907;1;0;13;899;0
170154;1;0;13;899;0
170202;1;0;13;899;0
170246;1;0;13;899;0
170895;1;0;13;899;0
171154;1;0;13;899;0
171202;1;0;13;899;0
171246;1;0;13;899;0
171895;1;0;13;899;0
172155;1;0;13;899;0
172203;1;0;13;899;0
172247;1;0;13;900;0
172897;1;0;13;900;0
173164;1;0;13;900;0
173188;1;0;13;900;0
173256;1;0;13;900;0
173895;1;0;13;900;0
174155;1;0;13;900;0
174203;1;0;13;900;0
174247;1;0;13;900;0
174833;1;0;13;900;0
174895;1;0;13;900;0
175156;1;0;13;900;0
175204;1;0;13;900;0
175247;1;0;13;899;0
175897;1;0;13;899;0
176156;1;0;13;899;0
176204;1;0;13;899;0
176248;1;0;13;899;0
176895;1;0;13;899;0
177156;1;0;13;899;0
177205;1;0;13;899;0
177249;1;0;13;899;0
177896;1;0;13;899;0
178156;1;0;13;899;0
178204;1;0;13;899;0
178248;1;0;13;899;0
178897;1;0;13;899;0
179156;1;0;13;899;0
179204;1;0;13;899;0
179228;1;0;13;900;0
179847;1;0;13;900;0
179896;1;0;13;900;0
180162;1;0;13;900;0
180210;1;0;13;900;0
180254;1;0;13;901;0
180895;1;0;13;901;0
181157;1;0;13;901;0
181205;1;0;13;901;0
181248;1;0;13;901;0
181894;1;0;13;901;0
182162;1;0;13;901;0
182187;1;0;13;901;0
182254;1;0;13;901;0
182895;1;0;13;901;0
183165;1;0;13;901;0
183189;1;0;13;901;0
183256;1;0;13;901;0
183896;1;0;13;901;0
184158;1;0;13;901;0
184206;1;0;13;901;0
184250;1;0;13;901;0
184857;1;0;13;901;0
184906;1;0;13;901;0
185158;1;0;13;901;0
185206;1;0;13;901;0
185250;1;0;13;903;0
185895;1;0;13;903;0
186158;1;0;13;903;0
186206;1;0;12;903;0
186251;1;0;12;903;0
186895;1;0;12;903;0
187159;1;0;12;903;0
187206;1;0;12;903;0
187251;1;0;12;904;0
187896;1;0;12;904;0
188159;1;0;12;904;0
188207;1;0;12;904;0
188252;1;0;12;904;0
188897;1;0;12;904;0
189159;1;0;12;904;0
189207;1;0;13;904;0
189231;1;0;13;902;0
189858;1;0;13;902;0
189907;1;0;13;902;0
190159;1;0;13;902;0
190207;1;0;13;902;0
190251;1;0;13;900;0
190895;1;0;13;900;0
191166;1;0;13;900;0
191190;1;0;13;900;0
191258;1;0;13;900;0
191897;1;0;13;900;0
192165;1;0;13;901;0
192189;1;0;13;901;0
192257;1;0;13;901;0
192895;1;0;13;901;0
193161;1;0;13;901;0
193209;1;0;13;901;0
193253;1;0;13;904;0
193895;1;0;13;904;0
194160;1;0;13;904;0
194209;1;0;12;904;0
194253;1;0;12;904;0
194834;1;0;12;904;0
194896;1;0;12;904;0
195161;1;0;12;904;0
195209;1;0;12;904;0
195253;1;0;12;901;0
195895;1;0;12;901;0
196161;1;0;12;901;0
196209;1;0;13;901;0
196253;1;0;13;901;0
196895;1;0;13;901;0
197166;1;0;13;897;0
197190;1;0;13;897;0
197257;1;0;13;897;0
197897;1;0;13;897;0
198162;1;0;13;897;0
198210;1;0;13;897;0
198254;1;0;13;897;0
198896;1;0;13;897;0
199162;1;0;13;897;0
199186;1;0;13;896;0
199254;1;0;14;896;0
199850;1;0;14;896;0
199899;1;0;14;896;0
200165;1;0;14;899;0
200190;1;0;14;899;0
200257;1;0;14;899;0
200895;1;0;14;899;0
201166;1;0;14;899;0
201190;1;0;14;899;0
201257;1;0;13;899;0
201895;1;0;13;899;0
202163;1;0;13;899;0
202187;1;0;13;898;0
202255;1;0;13;898;0
202895;1;0;13;898;0
203166;1;0;13;898;0
203190;1;0;13;898;0
203258;1;0;13;898;0
203896;1;0;13;898;0
204187;1;0;13;898;0
204255;1;0;14;898;0
204279;1;0;14;896;0
204857;1;0;14;896;0
204906;1;0;14;896;0
205163;1;0;14;896;0
205187;1;0;14;897;0
205256;1;0;14;897;0
205897;1;0;14;897;0
206166;1;0;14;897;0
206190;1;0;14;897;0
206258;1;0;14;897;0
206895;1;0;14;897;0
207164;1;0;14;897;0
207189;1;0;14;898;0
207256;1;0;13;898;0
207895;1;0;13;898;0
208166;1;0;13;898;0
208190;1;0;13;898;0
208257;1;0;13;898;0
208897;1;0;13;898;0
209166;1;0;13;898;0
209190;1;0;13;898;0
209258;1;0;13;898;0
209858;1;0;13;898;0
209907;1;0;13;898;0
210165;1;0;13;898;0
210188;1;0;13;898;0
210257;1;0;13;896;0
210894;1;0;13;896;0
211165;1;0;13;896;0
211188;1;0;14;896;0
211257;1;0;14;896;0
211894;1;0;14;896;0
212166;1;0;14;895;0
212190;1;0;14;895;0
212257;1;0;14;895;0
212895;1;0;14;895;0
213166;1;0;14;895;0
213190;1;0;14;895;0
213257;1;0;14;895;0
213897;1;0;14;895;0
214165;1;0;14;895;0
214189;1;0;14;895;0
214257;1;0;14;895;0
214790;1;0;14;895;0
214895;1;0;14;895;0
215165;1;0;14;895;0
215189;1;0;14;895;0
215258;1;0;14;895;0
215896;1;0;14;895;0
216165;1;0;14;895;0
216190;1;0;14;895;0
216257;1;0;14;895;0
216897;1;0;14;895;0
217166;1;0;14;895;0
217190;1;0;14;895;0
217257;1;0;14;895;0
217896;1;0;14;895;0
218190;1;0;14;895;0
218258;1;0;14;895;0
218282;1;0;14;895;0
218896;1;0;14;895;0
219165;1;0;14;896;0
219189;1;0;14;896;0
219257;1;0;14;896;0
219793;1;0;14;896;0
219894;1;0;14;896;0
220165;1;0;14;895;0
220190;1;0;14;895;0
220258;1;0;14;895;0
220896;1;0;14;895;0
221166;1;0;14;895;0
221190;1;0;14;895;0
221258;1;0;14;895;0
221894;1;0;14;895;0
222166;1;0;14;893;0
222190;1;0;14;893;0
222258;1;0;15;893;0
222897;1;0;15;893;0
223168;1;0;15;893;0
223257;1;0;15;893;0
223282;1;0;15;893;0
223895;1;0;15;893;0
224166;1;0;15;894;0
224190;1;0;15;894;0
224257;1;0;14;894;0
224816;1;0;14;894;0
224895;1;0;14;894;0
225166;1;0;14;898;0
225190;1;0;14;898;0
225258;1;0;14;898;0
225895;1;0;14;898;0
226189;1;0;14;898;0
226257;1;0;14;898;0
226281;1;0;14;898;0
226895;1;0;14;898;0
227165;1;0;14;899;0
227189;1;0;14;899;0
227257;1;0;14;899;0
227895;1;0;14;899;0
228166;1;0;14;899;0
228190;1;0;14;899;0
228257;1;0;14;899;0
228896;1;0;14;899;0
229166;1;0;14;898;0
229190;1;0;14;898;0
229258;1;0;14;898;0
229796;1;0;14;898;0
229894;1;0;14;898;0
230166;1;0;14;896;0
230190;1;0;14;896;0
230257;1;0;14;896;0
230894;1;0;14;896;0
231166;1;0;14;896;0
231190;1;0;14;896;0
231258;1;0;14;896;0
231894;1;0;14;896;0
232165;1;0;14;898;0
232190;1;0;14;898;0
232257;1;0;14;898;0
232894;1;0;14;898;0
233166;1;0;14;898;0
233190;1;0;14;898;0
233258;1;0;14;898;0
233896;1;0;14;898;0
234188;1;0;14;898;0
234255;1;0;13;898;0
234279;1;0;13;900;0
234799;1;0;13;900;0
234894;1;0;13;900;0
235166;1;0;13;898;0
235190;1;0;13;898;0
235257;1;0;13;898;0
235897;1;0;13;898;0
236166;1;0;13;898;0
236190;1;0;13;898;0
236258;1;0;14;898;0
236894;1;0;14;898;0
237166;1;0;14;896;0
237190;1;0;14;896;0
237258;1;0;14;896;0
237895;1;0;14;896;0
238167;1;0;14;896;0
238191;1;0;14;896;0
238258;1;0;14;896;0
238898;1;0;14;896;0
239166;1;0;14;898;0
239190;1;0;14;898;0
239258;1;0;14;898;0
239793;1;0;14;898;0
239893;1;0;14;898;0
240166;1;0;14;902;0
240190;1;0;14;902;0
240258;1;0;14;902;0
240894;1;0;14;902;0
241165;1;0;14;902;0
241190;1;0;14;902;0
241257;1;0;13;902;0
241896;1;0;13;902;0
242165;1;0;13;903;0
242189;1;0;13;903;0
242257;1;0;13;903;0
242895;1;0;13;903;0
243165;1;0;13;903;0
243189;1;0;13;903;0
243257;1;0;13;903;0
243895;1;0;13;903;0
244229;1;0;13;903;0
244253;1;0;13;903;0
244277;1;0;13;901;0
244824;1;0;13;901;0
244895;1;0;13;901;0
245165;1;0;13;903;0
245189;1;0;13;903;0
245257;1;0;13;903;0
245895;1;0;13;903;0
246165;1;0;13;903;0
246189;1;0;13;903;0
246257;1;0;13;903;0
246895;1;0;13;903;0
247165;1;0;13;905;0
247189;1;0;13;905;0
247256;1;0;12;905;0
247897;1;0;12;905;0
248165;1;0;12;905;0
248190;1;0;12;905;0
248257;1;0;12;905;0
248896;1;0;12;905;0
249166;1;0;12;905;0
249190;1;0;12;905;0
249258;1;0;12;905;0
249796;1;0;12;905;0
249894;1;0;12;905;0
250165;1;0;12;905;0
250189;1;0;12;905;0
250257;1;0;12;905;0
250894;1;0;12;905;0
251165;1;0;12;905;0
251189;1;0;12;905;0
251257;1;0;12;905;0
251894;1;0;12;905;0
252165;1;0;12;906;0
